dataset,conflict_group,group_size,jumlah_label,document_id,source_row,class_index,category,title,description,review_status
AG News Train,8,2,2,AGN-TRAIN-046382,46382,4,sci_tech,"From Spam To Lacrosse, A Day for The Books","New laws aimed at prosecuting big-time Internet spammers, helping small businesses and elevating lacrosse to the status of ""state team sport"" will become effective today in Maryland.",pending_review
AG News Train,9,2,2,AGN-TRAIN-066911,66911,3,business,General Dynamics Posts Profit,Defense contractor General Dynamics Corp. reported a 23 percent jump in profit in its third quarter yesterday despite escalating costs on a contract to build commercial oil tankers.,pending_review
AG News Train,9,2,2,AGN-TRAIN-067214,67214,4,sci_tech,General Dynamics Posts Profit,Defense contractor General Dynamics Corp. reported a 23 percent jump in profit in its third quarter yesterday despite escalating costs on a contract to build commercial oil tankers.,pending_review
AG News Train,10,2,2,AGN-TRAIN-075045,75045,3,business,Google buys digital mapping company,"Google Inc. has bought digital map maker Keyhole Corp., extending the search engine leader #39;s bid to fend off rivals with a toolbox that can catalog almost anything in the world.",pending_review
AG News Train,10,2,2,AGN-TRAIN-078319,78319,4,sci_tech,Google Buys Digital Mapping Company,"Google Inc. has bought digital map maker Keyhole Corp., extending the search engine leader #39;s bid to fend off rivals with a toolbox that can catalog almost anything in the world.",pending_review
AG News Train,11,2,2,AGN-TRAIN-000675,675,3,business,Government Spending Up Sharply Locally,"Federal procurement spending in the Washington area rose last year at its highest rate since the 1980s, according to a study to be released today, creating tens of thousands of jobs and increasing economic growth disproportionately in Northern Virginia.",pending_review
AG News Train,11,2,2,AGN-TRAIN-000791,791,4,sci_tech,Government Spending Up Sharply Locally,"Federal procurement spending in the Washington area rose last year at its highest rate since the 1980s, according to a study to be released today, creating tens of thousands of jobs and increasing economic growth disproportionately in Northern Virginia.",pending_review
AG News Train,12,2,2,AGN-TRAIN-031071,31071,1,world,Iraq Airways heads past borders,Iraqi Airways is reportedly planning to restart international flights after a 14-year break on Saturday.,pending_review
AG News Train,12,2,2,AGN-TRAIN-030990,30990,3,business,Iraq Airways heads past borders,Iraqi Airways is reportedly planning to restart international flights after a 14-year break on Saturday.,pending_review
AG News Train,13,2,2,AGN-TRAIN-021316,21316,1,world,Johnson Said to Be in Talks for Heart Device Maker,"Johnson Johnson is in advanced negotiations to acquire Guidant, one of the nation's largest makers of devices to treat heart illnesses, for more than \$24 billion.",pending_review
AG News Train,13,2,2,AGN-TRAIN-022571,22571,3,business,Johnson Said To Be in Talks for Heart Device Maker,"Johnson Johnson is in advanced negotiations to acquire Guidant, one of the nation's largest makers of devices to treat heart illnesses, for more than \$24 billion.",pending_review
AG News Train,14,2,2,AGN-TRAIN-004438,4438,3,business,Judges rule file-sharing software legal,update A federal appeals court has upheld a controversial court decision that said file-sharing software programs such as Grokster or Morpheus are legal.,pending_review
AG News Train,14,2,2,AGN-TRAIN-006400,6400,4,sci_tech,Judges rule file-sharing software legal,update A federal appeals court has upheld a controversial court decision that said file-sharing software programs such as Grokster or Morpheus are legal.,pending_review
AG News Train,15,2,2,AGN-TRAIN-085306,85306,1,world,Justice Dept. and S.E.C. Investigating Merck Drug,"Federal prosecutors and the S.E.C. are investigating Merck in connection with its recalled pain reliever, Vioxx.",pending_review
AG News Train,15,2,2,AGN-TRAIN-085228,85228,3,business,Justice Dept. And S.E.C. Investigating Merck Drug,"Federal prosecutors and the S.E.C. are investigating Merck in connection with its recalled pain reliever, Vioxx.",pending_review
AG News Train,16,2,2,AGN-TRAIN-005095,5095,3,business,Movie Studios Lose In Case Against File-Sharing Apps,The decision is likely to force the industry to take the more costly and less-popular route of going directly after file-swappers.,pending_review
AG News Train,16,2,2,AGN-TRAIN-005643,5643,4,sci_tech,Movie Studios Lose In Case Against File-Sharing Apps,The decision is likely to force the industry to take the more costly and less-popular route of going directly after file-swappers.,pending_review
AG News Train,17,2,2,AGN-TRAIN-044612,44612,3,business,New Company Starts Up a Challenge to Google,Google executives have long conceded that one of their great fears is to be overtaken by a more advanced Internet search technology.,pending_review
AG News Train,17,2,2,AGN-TRAIN-048024,48024,4,sci_tech,New company starts up a challenge to Google,Google executives have long conceded that one of their great fears is to be overtaken by a more advanced Internet search technology.,pending_review
AG News Train,18,2,2,AGN-TRAIN-057971,57971,1,world,Oil Firms Say Iraqi Purchases Were Legal,Two large American oil companies that received profitable vouchers to buy Iraqi oil under the United Nations' oil-for-food program said yesterday that the purchases complied with U.S. law.,pending_review
AG News Train,18,2,2,AGN-TRAIN-057729,57729,3,business,Oil Firms Say Iraqi Purchases Were Legal,Two large American oil companies that received profitable vouchers to buy Iraqi oil under the United Nations' oil-for-food program said yesterday that the purchases complied with U.S. law.,pending_review
AG News Train,19,2,2,AGN-TRAIN-112702,112702,3,business,PayPal and Apple iTunes link-up,Payment system Paypal announces a tie-up with Apple's iTunes as it continues to secure new business with online retailers.,pending_review
AG News Train,19,2,2,AGN-TRAIN-112771,112771,4,sci_tech,Paypal and Apple iTunes link-up,Payment system Paypal announces a tie-up with Apple's iTunes as it continues to secure new business with online retailers.,pending_review
AG News Train,20,2,2,AGN-TRAIN-045579,45579,3,business,Research in Motion 2Q Profit Soars,"Research In Motion Ltd., which makes the BlackBerry handheld device and other mobile products, on Thursday said its second-quarter profit rose significantly on improved sales.",pending_review
AG News Train,20,2,2,AGN-TRAIN-045708,45708,4,sci_tech,Research In Motion 2Q Profit Soars,"Research In Motion Ltd., which makes the BlackBerry handheld device and other mobile products, on Thursday said its second-quarter profit rose significantly on improved sales.",pending_review
AG News Train,21,2,2,AGN-TRAIN-004613,4613,3,business,Update 4: Two Firms Cleared of Swapping Violations,"In a judicial blow to the entertainment industry, a federal appeals court ruled that makers of two leading file-sharing programs are not legally liable for the songs, movies and other copyright works their users swap online.",pending_review
AG News Train,21,2,2,AGN-TRAIN-005972,5972,4,sci_tech,Update 4: Two Firms Cleared of Swapping Violations,"In a judicial blow to the entertainment industry, a federal appeals court ruled that makers of two leading file-sharing programs are not legally liable for the songs, movies and other copyright works their users swap online.",pending_review
AG News Train,22,2,2,AGN-TRAIN-096518,96518,1,world,WTO Negotiators Finish Week of Farm Talks,"Negotiators at the World Trade Organization completed weeklong farm talks Friday, part of discussions on ways to reach a wider-ranging liberalization accord by the end of 2005.",pending_review
AG News Train,22,2,2,AGN-TRAIN-097766,97766,3,business,WTO negotiators finish week of farm talks,"Negotiators at the World Trade Organization completed weeklong farm talks Friday, part of discussions on ways to reach a wider-ranging liberalization accord by the end of 2005.",pending_review
