document_id,category,title,description,yake_source_text,keyword_yake_display,keyword_yake_scores,keyword_yake_count
KMP-05838,money,"Laba Bersih Citra Borneo Utama (CBUT) Naik 11,5 Persen di Kuartal I-2026","PT Citra Borneo Utama Tbk (CBUT) membukukan laba Rp 45,97 miliar di Q1-2026, naik 11,5%. Kenaikan ini ditopang efisiensi beban pokok penjualan yang signifikan.",laba bersih citra borneo utama cbut naik 11 5 persen di kuartal i 2026 pt citra borneo utama tbk cbut membukukan laba rp 45 97 miliar di q1 2026 naik 11 5 kenaikan ini ditopang efisiensi beban pokok penjualan yang signifikan,citra borneo utama | bersih citra borneo | borneo utama tbk | ditopang efisiensi beban | efisiensi beban pokok,"[0.00406175, 0.00719304, 0.00719304, 0.00830945, 0.00830945]",5
KMP-04697,money,"Drop Tank Masuk Bengkulu, Bongkar Muat Sawit Jadi Lebih Cepat",PTP Nonpetikemas mulai mengoperasikan layanan drop tank di Pelabuhan Pulau Baai untuk mempercepat bongkar muat kargo curah cair.,drop tank masuk bengkulu bongkar muat sawit jadi lebih cepat ptp nonpetikemas mulai mengoperasikan layanan drop tank di pelabuhan pulau baai untuk mempercepat bongkar muat kargo curah cair,kargo curah cair | cepat ptp nonpetikemas | ptp nonpetikemas mulai | nonpetikemas mulai mengoperasikan | mulai mengoperasikan layanan,"[0.00428991, 0.00717279, 0.00717279, 0.00717279, 0.00717279]",5
KMP-04489,money,"SpaceX Kian Dekat Melantai di Bursa, IPO Berpotensi Pecahkan Rekor","SpaceX, dikabarkan menunjuk Goldman Sachs sebagai penjamin emisi utama (lead left) dalam rencana IPO",spacex kian dekat melantai di bursa ipo berpotensi pecahkan rekor spacex dikabarkan menunjuk goldman sachs sebagai penjamin emisi utama lead left dalam rencana ipo,berpotensi pecahkan rekor | dikabarkan menunjuk goldman | menunjuk goldman sachs | penjamin emisi utama | emisi utama lead,"[0.00649711, 0.00649711, 0.00649711, 0.00649711, 0.00649711]",5
KMP-09257,money,"Rupiah Masih Melemah, Sentuh Rp 17.726 per Dollar AS Senin Pagi",Nilai tukar rupiah di pasar spot masih melemah pada awal perdagangan Senin (25/5/2026).,rupiah masih melemah sentuh rp 17 726 per dollar as senin pagi nilai tukar rupiah di pasar spot masih melemah pada awal perdagangan senin 25 5 2026,pagi nilai tukar | nilai tukar rupiah | awal perdagangan senin | senin pagi nilai | pagi nilai,"[0.00743352, 0.01114924, 0.01114924, 0.01114924, 0.0369944]",5
KMP-06217,money,RAJA dan RATU Akuisisi 5 Persen Blok Kasuri dan Proyek FLNG Genting,GOKPL dan GLNG merupakan anak usaha tidak langsung Genting dengan kepemilikan 95 persen.,raja dan ratu akuisisi 5 persen blok kasuri dan proyek flng genting gokpl dan glng merupakan anak usaha tidak langsung genting dengan kepemilikan 95 persen,persen blok kasuri | proyek flng genting | flng genting gokpl | raja dan ratu | ratu akuisisi,"[0.00188708, 0.00344124, 0.00344124, 0.01234743, 0.01234743]",5
KMP-09142,tekno,"Spesifikasi dan Harga Huawei Nova 14 Pro di Indonesia, mulai Rp 8 Jutaan","Spesifikasi Huawei Nova 14 Pro mencakup chip Kirin 8020, baterai 5.500 mAh, dan kamera 50 MP. Harga Huawei Nova 14 Pro mulai Rp 8 jutaan.",spesifikasi dan harga huawei nova 14 pro di indonesia mulai rp 8 jutaan spesifikasi huawei nova 14 pro mencakup chip kirin 8020 baterai 5 500 mah dan kamera 50 mp harga huawei nova 14 pro mulai rp 8 jutaan,harga huawei nova | spesifikasi huawei nova | mencakup chip kirin | huawei nova | pro mencakup chip,"[0.00088401, 0.00228916, 0.00270428, 0.00334364, 0.00371038]",5
KMP-09604,tekno,Studi Harvard: Pakai AI di Kantor Malah Bikin Karyawan Makin Lelah,Studi Harvard ungkap AI tak kurangi jam kerja. Banyak karyawan justru makin sibuk dan kelelahan.,studi harvard pakai ai di kantor malah bikin karyawan makin lelah studi harvard ungkap ai tak kurangi jam kerja banyak karyawan justru makin sibuk dan kelelahan,kurangi jam kerja | studi harvard pakai | lelah studi harvard | studi harvard ungkap | sibuk dan kelelahan,"[0.00755685, 0.00938147, 0.00938147, 0.00938147, 0.02261149]",5
KMP-03657,tekno,Facebook dan Instagram Akan Pakai AI untuk Baca Struktur Tulang Anak,"Meta menggunakan AI untuk mendeteksi akun pengguna di bawah 13 tahun dengan menganalisis foto, video, dan aktivitas teks.",facebook dan instagram akan pakai ai untuk baca struktur tulang anak meta menggunakan ai untuk mendeteksi akun pengguna di bawah 13 tahun dengan menganalisis foto video dan aktivitas teks,baca struktur tulang | struktur tulang anak | tulang anak meta | anak meta menggunakan | mendeteksi akun pengguna,"[0.00570411, 0.00570411, 0.00570411, 0.00570411, 0.00570411]",5
KMP-08905,tekno,"Apple Diduga Siapkan MacBook Ultra, Lebih Premium dari MacBook Pro","Apple disebut tengah menyiapkan laptop baru bernama MacBook Ultra dengan layar OLED dan touchscreen, diposisikan di atas MacBook Pro.",apple diduga siapkan macbook ultra lebih premium dari macbook pro apple disebut tengah menyiapkan laptop baru bernama macbook ultra dengan layar oled dan touchscreen diposisikan di atas macbook pro,disebut tengah menyiapkan | tengah menyiapkan laptop | menyiapkan laptop baru | laptop baru bernama | apple diduga siapkan,"[0.00204149, 0.00204149, 0.00204149, 0.00204149, 0.00264891]",5
KMP-05293,tekno,"Bukan Kamera Profesional, Smartphone Kini Lebih Dipilih Kreator Konten","Selain kepraktisan, kualitas kamera ponsel yang semakin oke jadi pertimbangan kreator untuk bikin konten.",bukan kamera profesional smartphone kini lebih dipilih kreator konten selain kepraktisan kualitas kamera ponsel yang semakin oke jadi pertimbangan kreator untuk bikin konten,oke jadi pertimbangan | kepraktisan kualitas kamera | jadi pertimbangan kreator | untuk bikin konten | kamera profesional smartphone,"[0.00743352, 0.01114924, 0.01114924, 0.01114924, 0.01114924]",5
