document_id,title,description,content,date,category,link,duplicate_type,dataset,class_index,split
AGN-TRAIN-002219,"Fall Season Looks Solid for Retailers, but Holidays Could Be Another Story","Against a background of lackluster retail sales in June and July, analysts and merchants still predict a decent, possibly strong, fall selling season for clothes, accessories and home furnishings.",,,business,,normalized_title_description,AG News Train,3.0,train
AGN-TRAIN-002271,NL Wrap: Walker Grand Slam Helps Cards Beat Reds Again,NEW YORK (Reuters) - Larry Walker hit a grand slam home run to key a six-run eighth inning as the Cardinals stayed hot with a 7-2 win over the Cincinnati Reds in St Louis on Tuesday.,,,sports,,normalized_title_description,AG News Train,2.0,train
AGN-TRAIN-002731,Rival Targets Apple's iTunes Customers (AP),"AP - For more than a year, Apple Computers Inc. enjoyed singular success selling songs exclusively to users of its iPod portable music player. Now, it's got rival RealNetworks Inc. trying to lure iTunes customers away.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-003387,Pakistan Mobile Phone Firms Vie for Pent-Up Demand,"ISLAMABAD (Reuters) - Tens of thousands of Pakistanis endured hours of stifling heat this week to accept an offer of free mobile phone connections, a sign of the pent-up demand in a country where cell phone usage has remained low.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-003551,AL Wrap: Santana Solid on Mound as Twins Beat Yankees,"NEW YORK (Reuters) - Johan Santana pitched seven strong innings to win his fifth straight start and Shannon Stewart homered, had three hits and two RBI to lead the Minnesota Twins to a 7-2 home win over the New York Yankees.",,,sports,,normalized_title_description,AG News Train,2.0,train
AGN-TRAIN-003950,Oil Sets Record as New Violence Flares in Iraq,"LONDON (Reuters) - Oil prices struck a fresh record on Thursday, spurred higher by renewed violence in Iraq and fresh evidence that strong demand growth in China and India has not been slowed yet by higher energy costs.",,,business,,normalized_title_description,AG News Train,3.0,train
AGN-TRAIN-003957,Doping Casts Shadow Over Olympics -- Again,"ATHENS (Reuters) - Five weightlifters were banned from the Olympics after failing drugs tests, officials said on Thursday, as doping scandals continued to dominate the first week of the Games.",,,sports,,normalized_title_description,AG News Train,2.0,train
AGN-TRAIN-004217,"Sony Unveils New Flat TVs, Aims to Boost Share",TOKYO (Reuters) - Electronics conglomerate Sony Corp. unveiled eight new flat-screen televisions on Thursday in a product push it hopes will help it secure a leading 35 percent of the domestic market in the key month of December.,,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-004406,"NL Wrap: Maddux, Sosa Help Cubs Beat Brewers",NEW YORK (Reuters) - Greg Maddux overcame a shaky start to post his 301st career win while Sammy Sosa hit his 566th career home run as the Chicago Cubs beat the Milwaukee Brewers 9-6 in Milwaukee Thursday.,,,sports,,normalized_title_description,AG News Train,2.0,train
AGN-TRAIN-004551,Google Up in Market Debut After Bumpy IPO,"NEW YORK/SEATTLE (Reuters) - Google Inc. shares jumped 18 percent in their long-awaited stock market debut on Thursday, after a scaled-down \$1.67 billion IPO marked by missteps and lackluster market conditions.",,,business,,normalized_title_description,AG News Train,3.0,train
AGN-TRAIN-004914,Oracle moves to monthly patching schedule,"Weeks after coming under criticism for sitting on patches for multiple holes in its database software, Oracle Corp. has announced that it is moving to a monthly patch release schedule.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-004955,Judge Maintains Peirsol Broke Rules,ATHENS (Reuters) - The swimming judge who disqualified gold medal winner Aaron Peirsol at the Athens Olympics is standing by his claim that the American backstroker broke the rules.,,,sports,,normalized_title_description,AG News Train,2.0,train
AGN-TRAIN-005057,Japan Court Ex-Chess Champ Fischer Can Be Deported,"TOKYO (Reuters) - A Tokyo court on Friday rejected a request by former world chess champion Bobby Fischer to have Japanese authorities halt procedures to deport him, Kyodo news agency reported.",,,world,,normalized_title_description,AG News Train,1.0,train
AGN-TRAIN-005109,Japan Court: Bobby Fischer Can Be Deported,"TOKYO (Reuters) - A Tokyo court on Friday rejected a request by former world chess champion Bobby Fischer to have the Japanese authorities halt procedures to deport him, his lawyer said.",,,world,,normalized_title_description,AG News Train,1.0,train
AGN-TRAIN-005161,Dollar Up Vs. Most Except Yen,"NEW YORK (Reuters) - The dollar rose against almost every one of its main counterparts except the yen on Friday, as technically focused investors shifted positions and considered the implications of spiking oil prices.",,,business,,normalized_title_description,AG News Train,3.0,train
AGN-TRAIN-005344,IRS: Rose Owes Nearly \$1M in Unpaid Taxes,"MIAMI - Pete Rose is back in trouble with the Internal Revenue Service, which says the baseball great owes nearly \$1 million in unpaid taxes. The IRS filed a federal tax lien in Broward County on Tuesday alleging that baseball's all-time hits king owes \$973,693.28 in back taxes from 1997 to 2002...",,,world,,normalized_title_description,AG News Train,1.0,train
AGN-TRAIN-005424,'Doom 3' Game Unlikely for Xbox This Year - id CEO,"NEW YORK (Reuters) - The Xbox version of ""Doom 3,"" the long-awaited PC video game recently released to wide acclaim, is not likely to be released in 2004 dealing a blow to enthusiastic game players who are anxiously awaiting it.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-005425,'Doom 3' Game Unlikely for Xbox This Year - id CEO (Reuters),"Reuters - The Xbox version of ""Doom 3,"" the\long-awaited PC video game recently released to wide acclaim,\is not likely to be released in 2004 dealing a blow to\enthusiastic game players who are anxiously awaiting it.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-005647,Mars Rover Finds Mysterious Rocks and More Signs of Water,"ith one Mars rover climbing into the hills and the other descending deep into a crater, scientists yesterday reported the discovery of several mysterious rock structures along with yet more signs that Mars was once awash in water.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-005651,Google #39;s ups and downs,"Google #39;s long-awaited public offering finally made it to the street, but the search is still on for Microsoft #39;s Windows update.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-005697,IE Flaw Affects Windows XP SP2 Systems,"The quot;highly criticial quot; vulnerability affects Internet Explorer 5.01, 5.5, and 6 on fully patched PCs running either Windows XP SP1 or the newer SP2.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-005699,Apple Recalls PowerBook Batteries,"Apple Computer this week launched a voluntary worldwide 15-inch PowerBook G4 battery exchange program to deal with 28,000 potentially faulty units.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-005796,Lindows halts stock release,Linux supplier Lindows has announced it has called a halt to the initial public offering of its common stock after filing for registration in April.,,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-005803,NASA prepares to catch a falling star sample,NASA #39;s three-year effort to bring some genuine star dust back to Earth is set for a dramatic finale Sept. 8 when Hollywood helicopter pilots will attempt a midair retrieval of a descending space capsule.,,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-005853,Brazil tribe prove words count,"When it comes to counting, a remote Amazonian tribespeople have been found to be lost for words. Researchers discovered the Piraha tribe of Brazil, with a population of 200, have no words beyond one, two and many.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-005877,Moveon.org subscriber-data leaked through search,Subscribers to Moveon.org #39;s mailing lists may have found their interest in the anti-Bush political site a matter of public record.,,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-005909,Airways pilots extend talks,"Pilots for US Airways are continuing to negotiate this weekend over the Arlington airline #39;s demand for a 16.5 percent pay cut, despite a warning from management that negotiations should have concluded yesterday.",,,business,,normalized_title_description,AG News Train,3.0,train
AGN-TRAIN-005960,Stunt pilots to hook falling stardust sample,"A piece of the Sun is set to fall to Earth and be captured by Hollywood stunt pilots in a tricky mid-air manoeuvre, NASA announced on Thursday.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-005983,US Airways asks pilots for 16.5 cut in pay,Struggling US Airways (UAIR) has asked its pilots to accept a 16.5 pay cut while giving them the chance to recoup some of the money by flying more.,,,business,,normalized_title_description,AG News Train,3.0,train
AGN-TRAIN-006077,Nortel Will Cut Workforce by 10 Percent,"TORONTO, Aug. 19 -- Nortel Networks Corp. said Thursday it will slash its workforce by 3,500, or 10 percent, as it struggles to recover from an accounting scandal that toppled three top executives and led to a criminal investigation and lawsuits.",,,business,,normalized_title_description,AG News Train,3.0,train
AGN-TRAIN-006110,RealNetworks Doesn #39;t Rock,"NEW YORK - It #39;s never a smart move to pick a public fight with Apple Computer, and it #39;s doubly unwise if that fight involves the iPod in some way.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-006240,AT amp;T strikes VoIP deals with cable,"In an attempt to spark growth in its Net phone service, AT amp;T has turned to cable companies to pitch the technology to more consumers.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-006381,EA game #39;Madden #39; tops 1.3 million first week,"quot;Madden NFL 2005, quot; the latest version of Electronic Arts #39; pro football video game franchise, sold more than 1.3 million copies in its first week of release, the company said Thursday, citing internal figures.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-006405,Peres demands early Israeli elections,"Israel #39;s opposition leader, Shimon Peres, today called for early elections that would effectively rule his party out of joining a coalition to prop up the prime minister, Ariel Sharon.",,,world,,normalized_title_description,AG News Train,1.0,train
AGN-TRAIN-006519,Stumbling over SP2,"People have Bill Gates all wrong. He doesn #39;t want to rule the world (or at least the computerized portion of it). And although he may secretly hope that all Linux source code spontaneously combusts, that isn #39;t his biggest wish.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-006771,Web sites agree to be accessible to blind,"In one of the first enforcement actions of the Americans with Disabilities Act on the Internet, two major travel services have agreed to make sites more accessible to the blind and visually impaired.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-007644,Toys R Us Posts Operating Loss,"NEW YORK (Reuters) - Toys R Us Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=TOY.N target=/stocks/quickinfo/fullquote""&gt;TOY.N&lt;/A&gt;, which is considering getting out of the toy business, on Monday posted a second-quarter operating loss on poor sales of video games and markdowns on older merchandise.",,,business,,normalized_title_description,AG News Train,3.0,train
AGN-TRAIN-007825,Flaws and a Delay for XP SP2,"Just one day after Microsoft delayed the delivery of its Windows XP Service Pack 2 (XP SP2) update for the Professional Edition, a German research firm announced the discovery of two security flaws in the application.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-008554,Iraq output rises; oil futures fall,"Oil futures fell yesterday after Iraq, the sixth-largest supplier to the United States, boosted shipments to tankers to normal rates for the first time in two weeks.",,,business,,normalized_title_description,AG News Train,3.0,train
AGN-TRAIN-009267,Fact and Comment (Forbes.com),"Forbes.com - The news from Iran is grim. This Islamic dictatorship--the biggest source of terrorist training and financing in the world and the nation that's doing all it can to stir up trouble in already combustible Iraq--is clearly on the cusp of becoming a nuclear power. The clerical fascists running the country have dropped just about all pretense of their atomic programs being energy-related only. Tehran announced in July that it had resumed making the centrifuges needed to produce highly enriched uranium, a key ingredient for nuclear bombs. ...",,,business,,normalized_title_description,AG News Train,3.0,train
AGN-TRAIN-011042,US Weekly Jobless Claims Rise,"The US Labor Department said Thursday the number of workers filing first-time applications for unemployment benefits rose by 10,000 last week.",,,business,,normalized_title_description,AG News Train,3.0,train
AGN-TRAIN-013108,Birgit Fischer Wins Second Medal in Kayak,"Birgit Fischer settled for silver, leaving the 42-year-old Olympian with two medals in two days against decidedly younger competition.",,,sports,,normalized_title_description,AG News Train,2.0,train
AGN-TRAIN-013480,Duke Welcomes Freshmen With New iPods (AP),"AP - Newly arrived Duke University freshmen got something considerably snazzier than the usual Blue Devils T-shirts and ball caps: Their goodie bags included a free iPod digital music player engraved with the school's crest and the words ""Class of 2008.""",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-014805,Sharon to Present Gaza Timetable to Mutinous Party,JERUSALEM (Reuters) - Israeli Prime Minister Ariel Sharon intends to present a timetable for withdrawal from Gaza to lawmakers from his Likud Party Tuesday despite a mutiny in the right-wing bloc over the plan.,,,world,,normalized_title_description,AG News Train,1.0,train
AGN-TRAIN-023301,Ritter Family Files Wrongful Death Suit,"LOS ANGELES - The family of John Ritter has sued a Burbank hospital, accusing it of negligence in the death of the 54-year-old actor. Ritter's wife Amy Yasbeck and his four children, including actor Jason Ritter, filed the wrongful death suit in Los Angeles County Superior Court on Sept...",,,world,,normalized_title_description,AG News Train,1.0,train
AGN-TRAIN-024716,Notre Dame Upsets No. 8 Michigan,"SOUTH BEND, Indiana (Sports Network) - True freshman Darius Walker ran for 115 yards and a pair of fourth-quarter touchdowns, leading Notre Dame to a 28-20 victory over eighth-ranked Michigan at Notre Dame Stadium.",,,sports,,normalized_title_description,AG News Train,2.0,train
AGN-TRAIN-025956,Australians 'kidnapped' in Iraq,Australia is investigating reports that two of its citizens have been taken hostage by militants in Iraq.,,,world,,normalized_title_description,AG News Train,1.0,train
AGN-TRAIN-026455,IBM Triples Transistor Performance with Germanium,"IBM has successfully demonstrated a new technique for improving transistor performance that will help the company build smaller, more powerful chips in the next decade, company researchers said Monday.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-030388,Infineon to Pay a Fine in the Fixing of Chip Prices,Federal prosecutors cracked a global cartel that had illegally fixed prices of memory chips in personal computers and servers for three years.,,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-031358,Rangers Reliever Francisco Suspended for Season,NEW YORK (Sports Network) - Texas Rangers relief pitcher Frank Francisco was suspended for the rest of the 2004 season Friday by Major League Baseball after tossing a chair into the stands and hitting two fans in the head earlier this week.,,,sports,,normalized_title_description,AG News Train,2.0,train
AGN-TRAIN-032213,"Pouring It on, Yanks Cool Off Sox","With the offense rumbling and Jon Lieber in command, the Yankees walloped Boston at misty, wind-whipped Yankee Stadium.",,,sports,,normalized_title_description,AG News Train,2.0,train
AGN-TRAIN-035165,Revamped EMusic Targets Indie Market (AP),"AP - Nearly a year since it was sold by Vivendi Universal to private investors, online retailer eMusic has undergone a facelift that includes a panel of music critics to help users comb its trove of independent music.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-037375,"Blue Chips Drop, Oil Reaches \$49 a Barrel",NEW YORK (Reuters) - U.S. blue-chip stocks fell on Thursday and crude oil prices touched \$49 a barrel as traders saw a possible oil loan from U.S. government reserves as too small to make up for supply disruptions caused by Hurricane Ivan.,,,business,,normalized_title_description,AG News Train,3.0,train
AGN-TRAIN-037506,Ireland cracks down on Internet fraud,Ireland has become the first country on earth to cut off direct-dialed calls to entire nations in a bid to crack down on Internet-based fraud.,,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-038059,Bank of America bases unit in Hub,Bank of America Corp. confirmed yesterday it will locate its wealth management division in Boston and said it will move about 100 high-level jobs here.,,,business,,normalized_title_description,AG News Train,3.0,train
AGN-TRAIN-039719,al-Qaida Aims to Disrupt Afghan Elections,"KABUL, Afghanistan - U.S.-led forces trying to protect landmark Afghan elections face a rising wave of violence from about 2,000 insurgents, including al-Qaida militants slipping in from Pakistan, an American general said Saturday. In the latest bloodshed, Afghan police said suspected Taliban gunmen killed nine militia soldiers in two attacks on checkpoints in a troubled southern province...",,,world,,normalized_title_description,AG News Train,1.0,train
AGN-TRAIN-041860,Time Warner and Comcast Discuss Bid for Adelphia,"Comcast said it was in talks with Time Warner to make a joint bid for Adelphia, which has been operating under bankruptcy protection.",,,business,,normalized_title_description,AG News Train,3.0,train
AGN-TRAIN-043232,'American Taliban' Seeks Commuted Sentence,"SAN FRANCISCO - John Walker Lindh asked President Bush on Tuesday to commute his 20-year prison sentence for aiding the Taliban. His lawyer, James Brosnahan, said that Lindh was fighting alongside the Taliban in a civil war against the Northern Alliance, that he is not a terrorist and that he never fought against U.S...",,,world,,normalized_title_description,AG News Train,1.0,train
AGN-TRAIN-043712,World bank urges poor countries to improve investment climates,"The World Bank wants the governments of poor countries to do more to improve their investment climates, action it described as central to economic growth and poverty reduction.",,,business,,normalized_title_description,AG News Train,3.0,train
