dataset,document_id,source_row,column,before,after,words_before,words_after
Kompas,KMP-05762,,description,Terganggunya pasokan pupuk dan bahan baku utamanya akibat perang di Iran dilaporkan mengancam ketahanan pangan global.,terganggunya pasokan pupuk dan bahan baku utamanya akibat perang di iran dilaporkan mengancam ketahanan pangan global,16,16
Kompas,KMP-05762,,content,"LONDON, KOMPAS.com - Terganggunya pasokan pupuk dan bahan baku utamanya akibat perang di Iran dilaporkan mengancam ketahanan pangan global. Hal tersebut disampaikan Chief Executive Yara Svein Tore Holsether, salah satu produsen pupuk terbesar di dunia, sebagaimana dilansir BBC , Jumat (1/5/2026). Holsether memperingatkan bahwa situasi ini dapat menyebabkan hilangnya hingga 10 miliar porsi makanan setiap minggu di seluruh dunia. Menurut Holsether, konflik di Teluk Persia yang membuat Selat Hormuz terblokade kini membahayakan jalur distribusi pupuk. Akibatnya, suplai pupuk bagi pertanian menjadi tersendat sehingga mengganggu ketahanan pangan global. Penurunan hasil panen akibat berkurangnya penggunaan pupuk diprediksi akan memicu kerawanan pangan yang berdampak paling berat bagi negara-negara termiskin. ""Saat ini, sekitar setengah juta ton pupuk nitrogen tidak dapat diproduksi di dunia akibat situasi yang kita hadapi,"" ujar Holsether kepada BBC . ""Apa artinya bagi produksi pangan? Saya memperkirakan hingga 10 miliar porsi makanan tidak akan terproduksi setiap minggu sebagai akibat dari kurangnya pupuk,"" tambahnya. Dia juga menjelaskan, ketiadaan pupuk nitrogen dapat memangkas hasil panen untuk beberapa jenis tanaman hingga sebesar 50 persen pada musim pertama. Di samping itu, kondisi ini diperparah oleh tekanan ekonomi yang dihadapi para petani. Harga jual hasil pangan saat ini dinilai belum cukup untuk menutupi kenaikan biaya operasional yang harus ditanggung petani. ""Mereka dihadapkan pada biaya energi yang lebih tinggi, harga solar untuk traktor meningkat, input lain bagi petani meningkat, biaya pupuk meningkat, namun harga tanaman belum meningkat pada tingkat yang sama,"" jelas Holsether. Tercatat, harga pupuk telah melonjak hingga 80 persen sejak Amerika Serikat (AS) dan Israel menyerang Iran pada 28 Februari. Jika konflik terus berlanjut, Holsether mengkhawatirkan terjadinya perebutan pasokan pangan antara negara kaya dan miskin. ""Jika terjadi perang penawaran pangan dan Eropa cukup kuat untuk menghadapinya, yang perlu kita ingat adalah: dalam situasi itu, dari siapa kita membeli makanan tersebut?"" papar bos Yara tersebut. ""Itu adalah situasi di mana orang-orang yang paling rentan di negara berkembang membayar harga tertinggi karena mereka tidak mampu bersaing,"" lanjut. Di tingkat global, Program Pangan Dunia (WFP) memperkirakan dampak gabungan dari konflik di Timur Tengah dapat mendorong tambahan 45 juta orang ke dalam kelaparan akut pada tahun 2026. Kawasan Asia dan Pasifik diprediksi menjadi wilayah dengan kenaikan ketidakamanan pangan relatif terbesar, yakni mencapai 24 persen.",london kompas com terganggunya pasokan pupuk dan bahan baku utamanya akibat perang di iran dilaporkan mengancam ketahanan pangan global hal tersebut disampaikan chief executive yara svein tore holsether salah satu produsen pupuk terbesar di dunia sebagaimana dilansir bbc jumat 1 5 2026 holsether memperingatkan bahwa situasi ini dapat menyebabkan hilangnya hingga 10 miliar porsi makanan setiap minggu di seluruh dunia menurut holsether konflik di teluk persia yang membuat selat hormuz terblokade kini membahayakan jalur distribusi pupuk akibatnya suplai pupuk bagi pertanian menjadi tersendat sehingga mengganggu ketahanan pangan global penurunan hasil panen akibat berkurangnya penggunaan pupuk diprediksi akan memicu kerawanan pangan yang berdampak paling berat bagi negara negara termiskin saat ini sekitar setengah juta ton pupuk nitrogen tidak dapat diproduksi di dunia akibat situasi yang kita hadapi ujar holsether kepada bbc apa artinya bagi produksi pangan saya memperkirakan hingga 10 miliar porsi makanan tidak akan terproduksi setiap minggu sebagai akibat dari kurangnya pupuk tambahnya dia juga menjelaskan ketiadaan pupuk nitrogen dapat memangkas hasil panen untuk beberapa jenis tanaman hingga sebesar 50 persen pada musim pertama di samping itu kondisi ini diperparah oleh tekanan ekonomi yang dihadapi para petani harga jual hasil pangan saat ini dinilai belum cukup untuk menutupi kenaikan biaya operasional yang harus ditanggung petani mereka dihadapkan pada biaya energi yang lebih tinggi harga solar untuk traktor meningkat input lain bagi petani meningkat biaya pupuk meningkat namun harga tanaman belum meningkat pada tingkat yang sama jelas holsether tercatat harga pupuk telah melonjak hingga 80 persen sejak amerika serikat as dan israel menyerang iran pada 28 februari jika konflik terus berlanjut holsether mengkhawatirkan terjadinya perebutan pasokan pangan antara negara kaya dan miskin jika terjadi perang penawaran pangan dan eropa cukup kuat untuk menghadapinya yang perlu kita ingat adalah dalam situasi itu dari siapa kita membeli makanan tersebut papar bos yara tersebut itu adalah situasi di mana orang orang yang paling rentan di negara berkembang membayar harga tertinggi karena mereka tidak mampu bersaing lanjut di tingkat global program pangan dunia wfp memperkirakan dampak gabungan dari konflik di timur tengah dapat mendorong tambahan 45 juta orang ke dalam kelaparan akut pada tahun 2026 kawasan asia dan pasifik diprediksi menjadi wilayah dengan kenaikan ketidakamanan pangan relatif terbesar yakni mencapai 24 persen,365,367
Kompas,KMP-03597,,title,"Harga Emas Antam Hari Ini 9 Mei 2026 Stabil, Cek Daftar Terbarunya",harga emas antam hari ini 9 mei 2026 stabil cek daftar terbarunya,12,12
Kompas,KMP-03597,,description,"Harga emas Antam hari ini 9 Mei 2026 tercatat stabil tak ada perubahan, cek daftar terbarunya.",harga emas antam hari ini 9 mei 2026 tercatat stabil tak ada perubahan cek daftar terbarunya,16,16
Kompas,KMP-03597,,content,"Harga emas tetap di posisi Rp 2.839.000 per gramnya. Emas batangan Antam tersedia dalam beragam pilihan berat mulai dari 0,5 gram hingga 1.000 gram (1 kg), sehingga dapat disesuaikan dengan kebutuhan masing-masing. Simak selengkapnya harga emas Antam hari ini, Sabtu (9/5/2026) per pukul 08.55 WIB dikutip dari laman resmi Logam Mulia . Berikut rincian harga emas Antam hari ini atau harga emas hari ini Antam terbaru per Sabtu (9/5/2026) pukul 08.50 WIB: Berdasarkan Peraturan Menteri Keuangan (PMK) Nomor 34/PMK.10/2017, transaksi pembelian maupun buyback emas batangan Antam dikenakan pajak sebagai berikut: Pajak pembelian emas (PPh 22) Setiap transaksi pembelian emas akan disertai bukti potong PPh 22 sebagai dasar pelaporan pajak. Pajak penjualan kembali ( buyback ) Untuk penjualan kembali emas ke PT Antam dengan nilai transaksi di atas Rp 10 juta, berlaku tarif: Pajak buyback akan dipotong secara langsung dari total nilai transaksi yang dilakukan. Itulah harga emas hari ini Antam, Sabtu (9/5/2026) per pukul 08.55 WIB. Harga emas hari ini di laman resmi Logam Mulia diperbarui setiap hari pada pukul 08.30 WIB.",harga emas tetap di posisi rp 2 839 000 per gramnya emas batangan antam tersedia dalam beragam pilihan berat mulai dari 0 5 gram hingga 1 000 gram 1 kg sehingga dapat disesuaikan dengan kebutuhan masing masing simak selengkapnya harga emas antam hari ini sabtu 9 5 2026 per pukul 08 55 wib dikutip dari laman resmi logam mulia berikut rincian harga emas antam hari ini atau harga emas hari ini antam terbaru per sabtu 9 5 2026 pukul 08 50 wib berdasarkan peraturan menteri keuangan pmk nomor 34 pmk 10 2017 transaksi pembelian maupun buyback emas batangan antam dikenakan pajak sebagai berikut pajak pembelian emas pph 22 setiap transaksi pembelian emas akan disertai bukti potong pph 22 sebagai dasar pelaporan pajak pajak penjualan kembali buyback untuk penjualan kembali emas ke pt antam dengan nilai transaksi di atas rp 10 juta berlaku tarif pajak buyback akan dipotong secara langsung dari total nilai transaksi yang dilakukan itulah harga emas hari ini antam sabtu 9 5 2026 per pukul 08 55 wib harga emas hari ini di laman resmi logam mulia diperbarui setiap hari pada pukul 08 30 wib,172,187
AG News Train,AGN-TRAIN-000202,202,title,Fake goods tempting young adults,fake goods tempting young adults,5,5
AG News Train,AGN-TRAIN-000202,202,description,"Young people are increasingly happy to buy pirated goods or illegal download content from the net, a survey shows.",young people are increasingly happy to buy pirated goods or illegal download content from the net a survey shows,19,19
AG News Train,AGN-TRAIN-001203,1203,title,Athletics Win to Hang on to AL West Lead (AP),athletics win to hang on to al west lead ap,10,10
AG News Train,AGN-TRAIN-001203,1203,description,"AP - Mark Redman pitched eight innings of six-hit ball, and the Oakland Athletics used a three-run fifth inning to beat the Baltimore Orioles 3-1 on Monday night.",ap mark redman pitched eight innings of six hit ball and the oakland athletics used a three run fifth inning to beat the baltimore orioles 3 1 on monday night,28,30
AG News Train,AGN-TRAIN-100964,100964,title,College Recruiters Lure Students With New Online Tools,college recruiters lure students with new online tools,8,8
AG News Train,AGN-TRAIN-100964,100964,description,"Frustrated by the failure of e-mail solicitations, admission directors are looking for new ways to incorporate the Internet into their marketing plans.",frustrated by the failure of e mail solicitations admission directors are looking for new ways to incorporate the internet into their marketing plans,22,23
AG News Train,AGN-TRAIN-055118,55118,title,Weather Hits Japanese Grand Prix,weather hits japanese grand prix,5,5
AG News Train,AGN-TRAIN-055118,55118,description,"The Japanese round of the World Rally Championship on the island of Hokkaido just missed a typhoon, and the weather has also affected the Japanese Grand Prix weekend.",the japanese round of the world rally championship on the island of hokkaido just missed a typhoon and the weather has also affected the japanese grand prix weekend,28,28
AG News Train,AGN-TRAIN-045485,45485,title,Red Hat Picks Up Pieces of Netscape,red hat picks up pieces of netscape,7,7
AG News Train,AGN-TRAIN-045485,45485,description,"Red Hat has gone scavenging among Netscape #39;s remains, agreeing to pay America Online up to \$23 million in cash for the assets of Netscape Communications #39; Security Solutions unit.",red hat has gone scavenging among netscape s remains agreeing to pay america online up to 23 million in cash for the assets of netscape communications security solutions unit,30,29
AG News Test,AGN-TEST-007095,7095,title,Fan v Fan: Manchester City-Tottenham Hotspur,fan v fan manchester city tottenham hotspur,6,7
AG News Test,AGN-TEST-007095,7095,description,"This weekend Manchester City entertain Spurs, and with last seasons seven-goal FA Cup epic between the two teams still fresh in the memory, entertain could be the operative word.",this weekend manchester city entertain spurs and with last seasons seven goal fa cup epic between the two teams still fresh in the memory entertain could be the operative word,29,30
AG News Test,AGN-TEST-001018,1018,title,Paris Tourists Search for Key to 'Da Vinci Code' (Reuters),paris tourists search for key to da vinci code reuters,10,10
AG News Test,AGN-TEST-001018,1018,description,"Reuters - A funny thing happened on the way to the\Mona Lisa. Visitors to the Louvre museum in Paris, home of the\world's most famous painting, started quizzing tour guides\about Dan Brown's best-selling novel ""The Da Vinci Code.""",reuters a funny thing happened on the way to the mona lisa visitors to the louvre museum in paris home of the world's most famous painting started quizzing tour guides about dan brown's best selling novel the da vinci code,37,40
AG News Test,AGN-TEST-002851,2851,title,Net firms: Don't tax VoIP,net firms don't tax voip,5,5
AG News Test,AGN-TEST-002851,2851,description,"The Spanish-American War is over and a ""temporary"" tax created to pay for it should not be extended to Internet phone calls, industry groups tell the IRS",the spanish american war is over and a temporary tax created to pay for it should not be extended to internet phone calls industry groups tell the irs,27,28
AG News Test,AGN-TEST-001453,1453,title,Dependent species risk extinction,dependent species risk extinction,4,4
AG News Test,AGN-TEST-001453,1453,description,"The global extinction crisis is worse than thought, because thousands of quot;affiliated quot; species also at risk do not figure in calculations.",the global extinction crisis is worse than thought because thousands of quot affiliated quot species also at risk do not figure in calculations,22,23
AG News Test,AGN-TEST-000458,458,title,EDS Is Charter Member of Siebel BPO Alliance (NewsFactor),eds is charter member of siebel bpo alliance newsfactor,9,9
AG News Test,AGN-TEST-000458,458,description,NewsFactor - Siebel Systems (Nasdaq: SEBL) has named EDS as the charter partner in Siebels' new business process outsourcing (BPO) global strategic-alliance program. The agreement expands the relationship between EDS and Siebel to provide a set of high-value managed products and service offerings targeted at the BPO and customer relationship management (CRM) marketplaces.,newsfactor siebel systems nasdaq sebl has named eds as the charter partner in siebels new business process outsourcing bpo global strategic alliance program the agreement expands the relationship between eds and siebel to provide a set of high value managed products and service offerings targeted at the bpo and customer relationship management crm marketplaces,53,54
