document_id,category,dataset,scenario_code,scenario_name,text,word_count
KMP-00201,money,Kompas,K1,Title,cek bansos kemensos mei 2026 pakai nik ktp pkh dan bpnt tahap 2 mulai cair,15
KMP-00202,tekno,Kompas,K1,Title,elon musk divonis bohongi investor twitter denda fantastis menanti,9
KMP-00203,bola,Kompas,K1,Title,klarifikasi marcus rashford usai tak sebut man united dalam pesan emosional piala dunia 2026,14
KMP-00204,global,Kompas,K1,Title,negara ini punya ladang gas terbesar kedua dunia tapi sangat bergantung ke china,13
KMP-00205,tekno,Kompas,K1,Title,aparat pamer barang sitaan kripto rp 81 miliar ludes disedot,10
KMP-00206,bola,Kompas,K1,Title,kronologi kericuhan suporter usai laga psm vs persib,8
KMP-00207,tekno,Kompas,K1,Title,microsoft ram 16 gb tidak cukup buat gaming 32 gb jadi standar baru,13
KMP-00208,bola,Kompas,K1,Title,kata kata alex marquez usai alami kecelakaan fatal di motogp catalunya,11
KMP-00209,tekno,Kompas,K1,Title,openai rilis gpt rosalind ai khusus riset biologi dan penemuan obat,11
KMP-00210,bola,Kompas,K1,Title,dugaan 2 pemain psg tak akur di uji coba internal jelang final liga champions,14
KMP-00211,global,Kompas,K1,Title,takut dengan milisi sekutu iran di irak as minta warganya pergi dari baghdad,13
KMP-00212,tekno,Kompas,K1,Title,openai rilis gpt 5 5 instant bikin chatgpt lebih cepat dan minim halusinasi,13
KMP-00213,money,Kompas,K1,Title,goto akhirnya cetak laba bersih tembus rp 171 m di kuartal i 2026,13
KMP-00214,tekno,Kompas,K1,Title,waspada nvidia intel mau bikin gpu khusus untuk server ai,10
KMP-00215,money,Kompas,K1,Title,akuisisi blok madura strait disetujui ratu perkuat portofolio migas,9
KMP-00216,tekno,Kompas,K1,Title,ambisi baru openai bikin chip sendiri untuk ponsel ai,9
KMP-00217,money,Kompas,K1,Title,fotokopi e ktp langgar uu perlindungan data pribadi,8
KMP-00218,money,Kompas,K1,Title,ihsg sesi i ditutup menguat ditopang saham tpia brpt dan unvr,11
KMP-00219,tekno,Kompas,K1,Title,iphone 17e rilis di indonesia harga mulai rp 13 juta,10
KMP-00220,global,Kompas,K1,Title,perang iran kuras stok senjata nato gelar rapat darurat,9
KMP-00221,tekno,Kompas,K1,Title,follower ig mendadak berkurang drastis meta ungkap sebabnya,8
KMP-00222,money,Kompas,K1,Title,tabel kur bri mei 2026 pinjaman rp 70 juta terbaru angsuran mulai rp 1 3 juta,16
KMP-00223,tekno,Kompas,K1,Title,laptop gaming asus rog g14 dan strix g16 rilis di indonesia harga mulai rp 33 juta,16
KMP-00224,bola,Kompas,K1,Title,pernyataan fede valverde usai masuk rs setelah berantem dengan tchouameni,10
KMP-00225,tekno,Kompas,K1,Title,riset idc pasar smartphone 2026 terancam suram,7
KMP-00226,global,Kompas,K1,Title,8 jam berunding negosiasi as iran di pakistan masuki fase kritis,11
KMP-00227,tekno,Kompas,K1,Title,bukan cuma phk pekerja yang digantikan ai juga terancam sulit cari kerja,12
KMP-00228,money,Kompas,K1,Title,bni bbni himpun rp 11 9 triliun dari obligasi at1 oversubscribe hingga 3 6 kali,15
KMP-00229,global,Kompas,K1,Title,asia diuntungkan usai uea keluar dari opec kok bisa,9
KMP-00230,money,Kompas,K1,Title,ihsg jumat 22 5 dibuka di zona merah bursa asia justru menguat,12
KMP-00231,bola,Kompas,K1,Title,link live streaming bhayangkara fc vs madura united di super league,11
KMP-00232,bola,Kompas,K1,Title,joao pedro terpilih jadi pemain terbaik chelsea 2025 2026 usai disingkirkan timnas brasil,13
KMP-00233,money,Kompas,K1,Title,ri bakal impor 100 000 tabung cng 3 kg dari china,11
KMP-00234,money,Kompas,K1,Title,generasi muda didorong bangun bisnis berkelanjutan dan green jobs,9
KMP-00235,global,Kompas,K1,Title,profil min aung hlaing presiden baru myanmar yang dilaporkan ke kejagung ri,12
KMP-00236,money,Kompas,K1,Title,danantara pastikan bumn ekspor hormati kontrak ekspor lama fokus cegah under invoicing,12
KMP-00237,bola,Kompas,K1,Title,hasil akhir championship liga 2 2025 2026 garudayaksa fc juara pss sleman runner up,14
KMP-00238,global,Kompas,K1,Title,mojtaba hanya percaya jaringan kurir misterius jadi penyebab tersendatnya negosiasi,10
KMP-00239,money,Kompas,K1,Title,bisnis syariah sun life masuk babak akhir spin off diburu tuntas 2026,12
KMP-00240,tekno,Kompas,K1,Title,vonis bersejarah meta dan google terbukti bersalah bikin anak kecanduan medsos,11
KMP-00241,tekno,Kompas,K1,Title,tecno spark 50 resmi di indonesia baterai 7 000 mah kamera ai 50 mp,14
KMP-00242,global,Kompas,K1,Title,as klaim menyita rp 7 8 t aset kripto iran rekening bank dibekukan,13
KMP-00243,bola,Kompas,K1,Title,wabah ebola melonjak rd kongo pindahkan pemusatan latihan piala dunia ke belgia,12
KMP-00244,global,Kompas,K1,Title,paus leo xiv desak trump cari jalan keluar perang di iran,11
KMP-00245,bola,Kompas,K1,Title,pelatih irak ungkap kejanggalan ronde 4 timnas indonesia dirugikan,9
KMP-00246,bola,Kompas,K1,Title,hasil juventus vs verona 1 1 dusan vlahovic selamatkan tuan rumah dari kekalahan,13
KMP-00247,money,Kompas,K1,Title,harga emas pegadaian 10 mei 2026 galeri 24 naik ubs turun tipis,12
KMP-00248,global,Kompas,K1,Title,populer global cekcok parkir berbuntut panjang 3 incaran china dari ktt trump xi jinping,14
KMP-00249,global,Kompas,K1,Title,insinyur dirgantara iran dieksekusi imbas bocorkan rahasia satelit ke cia dan mossad,12
KMP-00250,global,Kompas,K1,Title,demi negosiasi as israel hapus dua nama pejabat iran dari daftar target,12
KMP-00251,tekno,Kompas,K1,Title,nintendo switch 2 resmi naik harga indonesia berpotensi kena dampaknya,10
KMP-00252,bola,Kompas,K1,Title,malut united tanpa 8 pemain inti pada laga kontra borneo fc,11
KMP-00253,tekno,Kompas,K1,Title,apple bikin godzilla raksasa di langit pakai 3 000 drone,10
KMP-00254,money,Kompas,K1,Title,harga emas antam di pegadaian 8 mei 2026 naik cek daftar terbarunya,12
KMP-00255,global,Kompas,K1,Title,mengapa serangan pltn bushehr iran bisa jadi bencana bagi negara teluk,11
KMP-00256,tekno,Kompas,K1,Title,realme 16t resmi hp baterai jumbo dengan layar 144 hz,10
KMP-00257,global,Kompas,K1,Title,lebanon ungkap tujuan negosiasi dengan israel tuntut 3 hal,9
