document_id,category,dataset,scenario_code,scenario_name,component_signature,uses_yake,includes_content,yake_comparison_role,comparison_group,text,word_count,separator_count,split
KMP-00992,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,anak hilang di mall smartwatch xiaomi bisa tahu posisi detail di lantai berapa,13,0,train
KMP-00848,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,uni eropa bertindak x diperiksa soal konten pornografi buatan grok xai,11,0,train
KMP-05355,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,whatsapp rilis fitur keamanan baru untuk tangkal serangan siber canggih,10,0,train
KMP-02836,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,whatsapp dituding bisa intip chat kita meta digugat,8,0,train
KMP-07073,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,elon musk sebut whatsapp tak aman bos wa langsung kasih ulti,11,0,train
KMP-03625,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,fitur baru youtube music musik bisa lanjut otomatis antar perangkat,10,0,train
KMP-01846,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,samsung bekali atlet olimpiade dengan ponsel lipat emas galaxy z flip 7 milano cortina 2026,15,0,train
KMP-04416,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,snapchat digugat youtuber konten video dijadikan bahan bakar ai,9,0,train
KMP-06073,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,platform keamanan aplikasi f5 diperbarui tutup celah serangan siber,9,0,train
KMP-03103,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,2 cara registrasi sim card biometrik via gerai operator dan aplikasi,11,0,train
KMP-09142,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,spesifikasi dan harga huawei nova 14 pro di indonesia mulai rp 8 jutaan,13,0,train
KMP-09854,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,meski gagal juara ini 5 fakta mengesankan perjalanan alter ego di m7 mlbb,13,0,test
KMP-04778,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,bocoran tampang samsung galaxy a57 modul kamera bakal beda,9,0,test
KMP-09491,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,peneliti bikin aplikasi ai untuk tebak jejak kaki dinosaurus,9,0,train
KMP-08548,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,sejarah nokia berpindah pindah tangan hingga pensiunnya merek smartphone,9,0,test
KMP-04227,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,apple rilis ios 12 5 8 khusus iphone 5s dan iphone 6 update segera,14,0,train
KMP-07884,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,openai bikin prism sejenis chatgpt untuk jurnal ilmiah,8,0,train
KMP-06190,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,saya punya 1000 e mail belum dibaca lalu menghapusnya dengan cepat pakai trik ini,14,0,train
KMP-01221,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,ramalan mencengangkan elon musk soal robot masa depan,8,0,train
KMP-07048,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,suka aksi alex honnold manjat taipei 101 ini 5 judul netflix lain yang bikin kaki gemetar dan jantung berdebar,19,0,train
KMP-08172,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,10 tahun mobile legends ceo moonton siapkan 4 jurus untuk esports 2026,12,0,train
KMP-06420,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,peluncuran gta 6 tak ramah untuk kolektor game,8,0,train
KMP-04977,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,perancis pakai aplikasi lokal untuk rapat pemerintah tendang zoom dan teams buatan as,13,0,train
KMP-01530,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,ponsel vivo y31d resmi dengan baterai 7 200 mah tahan air ip69,12,0,validation
KMP-02722,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,ini dia sosok di balik ilovepdf situs populer untuk ubah file ke pdf,13,0,train
KMP-07988,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,stasiun jatake resmi anker green line wajib cek rute dan jadwal baru di aplikasi ini,15,0,train
KMP-08481,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,harga dan spesifikasi oppo reno 15 5g di indonesia mulai rp 8 jutaan,13,0,train
KMP-01743,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,apple rilis ios 26 2 1 demi iphone bisa konek airtag 2,12,0,test
KMP-07465,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,startup china bikin model ai yang beda dari openai dan google gemini,12,0,train
KMP-07598,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,rekor baru reels kini jadi ladang iklan terbesar instagram,9,0,train
KMP-04009,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,awas hyperos 3 bikin hp xiaomi jenis ini nge brick,10,0,train
KMP-03141,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,lulusan kampus beken tak lagi aman di era ai,9,0,validation
KMP-08105,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,pp whatsapp tiba tiba jadi inisial nama ini artinya tak selalu diblokir,12,0,validation
KMP-01675,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,website bisa tolak kontennya dipakai ai overview google siapkan opsi opt out,12,0,train
KMP-04617,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,samsung umumkan fitur privasi layar galaxy s26 orang sebelah auto tak bisa ngintip,13,0,train
KMP-00018,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,hp vivo x200t resmi rilis saudara kembar x200s,8,0,test
KMP-06843,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,cara mudah bikin link google drive untuk berbagi folder dan file,11,0,train
KMP-05583,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,gelombang phk amazon berlanjut 16 000 karyawan terdampak,8,0,train
KMP-03208,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,harga dan spesifikasi nubia v80 max di indonesia mulai rp 1 jutaan,12,0,train
KMP-05463,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,instagram facebook dan whatsapp siapkan paket berbayar ini bocoran fiturnya,10,0,train
KMP-03052,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,font dm instagram bisa tebal dan besar ini cara pakainya,10,0,test
KMP-02039,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,spesifikasi dan harga nubia a76 5g di indonesia mulai rp 2 jutaan,12,0,train
KMP-05048,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,robot humanoid ini bisa menyusut berenang dan jalan di atas air,11,0,train
KMP-03950,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,motorola g17 dan g17 power meluncur duo hp murah dengan baterai jumbo,12,0,train
KMP-03534,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,realme p4 power 5g resmi hp baterai 10 001 mah harga rp 5 jutaan,14,0,validation
KMP-00026,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,kenapa password mudah dibobol jawabannya ada di jenis sandi,9,0,train
KMP-00534,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,layar hp sering mencet sendiri kalau kena air kok bisa,10,0,train
KMP-08752,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,4 fitur anti maling di hp android dipercanggih,8,0,test
KMP-01791,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,tv tcl adalah sony bravia yang baru,7,0,train
KMP-06438,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,snapchat pisahkan bisnis kacamata ar bentuk perusahaan baru specs inc,10,0,train
KMP-04154,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,elon musk dan bos telegram kompak sebut whatsapp tak aman,10,0,train
KMP-03407,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,ini game paling laris di indonesia bukan free fire atau mobile legends,12,0,train
KMP-01475,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,apple akuisisi q ai israel rp 33 triliun perusahaan ai pembaca wajah,12,0,validation
KMP-03476,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,ramalan mark zuckerberg kacamata ai akan jadi smartphone baru,9,0,train
KMP-08543,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,realme p4 power 5g ketika hp punya baterai powerbank,9,0,train
KMP-03203,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,upscrolled medsos buatan palestina mendadak populer di as,8,0,train
KMP-00415,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,harga samsung s25 ultra di indonesia turun jelang perilisan galaxy s26 ini detailnya,13,0,train
KMP-05657,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,tiktoker khaby lame raup rp 15 triliun jadi monetisasi terbesar kreator konten,12,0,train
KMP-06161,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,hp redmi turbo 5 max resmi baterai 9 000 mah chip 3 7 ghz harga rp 6 jutaan,18,0,train
KMP-06094,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,bukan pc all in one biasa lenovo yoga aio ubah meja kerja jadi pusat produktivitas berbasis ai,17,0,train
KMP-04994,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,iphone 16 jadi hp terlaris dunia 2025,7,0,train
KMP-03603,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,riset cisco utang infrastruktur ai jadi momok baru perusahaan di indonesia,11,0,train
KMP-03194,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,tombol power rusak restart hp bisa pakai cara ini jangan panik,11,0,train
KMP-08770,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,saya baru sadar 7 kebiasaan ini bikin hp lebih awet dan jarang rusak,13,0,train
KMP-06871,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,aturan registrasi sim card biometrik berlaku indosat dan xlsmart siap terapkan,11,0,train
KMP-02542,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,tecno spark go 3 resmi di indonesia hp rp 1 jutaan bisa halo halo tanpa sinyal,16,0,test
KMP-05987,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,kode verifikasi whatsapp tidak muncul jangan panik ikuti langkah ini,10,0,test
KMP-02272,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,xlsmart data biometrik untuk registrasi sim card tak disimpan perusahaan,10,0,train
KMP-05809,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,saya sering pakai password ini padahal seharusnya dihindari,8,0,train
KMP-00021,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,hp oppo a6t dan a6t pro resmi rilis di indonesia ini harganya,12,0,train
KMP-07137,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,harga dan spesifikasi oppo reno 15f 5g di indonesia mulai rp 5 jutaan,13,0,test
KMP-05280,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,perbandingan spesifikasi redmi note 15 4g dan redmi note 15 5g di indonesia,13,0,test
KMP-00565,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,nubia klaim hp redmagic 11 pro laris di ri po naik 600 persen,13,0,train
KMP-01119,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,4 game gratis ps plus februari 2026 dari jet tempur sampai tinju,12,0,train
KMP-04058,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,tak ada lagi ssd 1 tb murah,7,0,train
KMP-02453,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,bos nvidia minta programer berhenti coding,6,0,train
KMP-05450,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,iphone 18 pro max terpaksa pakai layar terbaik samsung,9,0,train
KMP-03382,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,12 trik whatsapp yang bikin chat lebih praktis,8,0,validation
KMP-04862,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,sering hapus cache di hp kenali dulu fungsi pentingnya,9,0,train
KMP-04528,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,10 teknologi yang mengubah cara manusia hidup,7,0,train
KMP-02512,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,hp tidak ada suara meski volume penuh jangan panik lakukan ini,11,0,validation
KMP-07801,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,digital edge investasi rp 72 triliun bangun data center 500mw di bekasi,12,0,train
KMP-08358,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,bingung tanda tangan di dokumen pdf ini solusi praktisnya,9,0,validation
KMP-09457,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,bahaya konsultasi ke ai pakai data apple watch,8,0,train
KMP-04231,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,sepekan tekno rekor iphone terbesar medsos palestina viral di as,10,0,train
KMP-05188,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,jangan banyak nge like dan komentar di instagram bisa diblokir,10,0,train
KMP-02422,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,penjualan iphone cetak rekor terbesar sepanjang masa,7,0,train
KMP-09435,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,wajib tonton video jensen huang 14 tahun lalu soal blueprint nvidia di era ai,14,0,train
KMP-03972,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,kamera hp pm israel benjamin netanyahu ketahuan ditutup stiker,9,0,validation
KMP-07784,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,pembuat iklan pop up internet mengaku dosa ke netizen,9,0,train
KMP-02753,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,real racing 3 masuk tikungan terakhir gamer indonesia tak rela,10,0,train
KMP-01517,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,komdigi mulai buka blokir grok ai di indonesia,8,0,validation
KMP-00655,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,langkah langkah upload file ke google drive mudah dan praktis,10,0,train
KMP-02238,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,sejarah fotografi dan perubahannya dalam merekam kehidupan,7,0,train
KMP-00564,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,kelihatan sepele charger yang ditinggal menancap bikin listrik boros,9,0,train
KMP-05937,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,samsung galaxy a16 5g ponsel android terlaris 2025,8,0,validation
KMP-04166,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,data rahasia apple bocor isinya termasuk desain iphone dan vision pro,11,0,validation
KMP-07681,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,10 hp terlaris dunia 2025 isinya cuma dua merek ini,10,0,train
KMP-06187,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,pasar ponsel dunia 2025 naik 2026 terancam hadapi krisis,9,0,test
KMP-08132,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,kenapa banyak negara mewajibkan registrasi sim card apa dampaknya bagi privasi digital,12,0,train
KMP-07669,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,openai pensiunkan model ai kesayangan banyak orang,7,0,train
KMP-08145,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,10 hp terlaris di dunia 2025 versi counterpoint iphone 16 peringkat satu,12,0,train
KMP-05203,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,harga bitcoin terjun bebas kini di bawah 78 000 dollar as,11,0,train
KMP-01178,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,china kirim pesan keras 11 anggota mafia scam myanmar dieksekusi,10,0,train
KMP-06314,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,daftar hp baru rilis akhir januari redmi turbo 5 max hingga oppo a6t,13,0,train
KMP-00594,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,ceo nvidia minta setop coding lalu programer ngapain,8,0,validation
KMP-06568,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,samsung kecipratan booming ai panen cuan di akhir 2025,9,0,train
KMP-08785,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,nama elon musk dan bill gates terseret skandal epstein files,10,0,train
KMP-00783,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,layar tercanggih samsung bakal dipakai iphone 18 pro max ini alasannya,11,0,train
KMP-05490,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,baru punya apple watch ini hal penting yang sering terlewat,10,0,train
KMP-03991,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,spesifikasi dan harga tablet infinix xpad edge di indonesia mulai rp 4 jutaan,13,0,train
KMP-09415,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,ambisi baru elon musk 1 juta satelit untuk data center ai ke luar angkasa,14,0,train
KMP-09351,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,apple panen cuan iphone kembali jadi mesin uang,8,0,train
KMP-08329,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,dokumen epstein dibuka elon musk dan bill gates angkat bicara,10,0,train
KMP-02187,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,bos nvidia gelar makan malam triliunan dollar ai bakal meledak,10,0,test
KMP-09615,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,microsoft akui update windows 11 bermasalah bikin laptop tidak nyala,10,0,validation
KMP-09748,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,spacex akuisisi xai langkah elon musk satukan ai dan antariksa,10,0,train
KMP-09818,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,sudahkah butuh babak revolusi keamanan siber indonesia,7,0,train
KMP-05747,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,mantan karyawan google hadapi vonis 175 tahun,7,0,train
KMP-05096,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,ketika bos nvidia kumpulkan raja teknologi taiwan dalam makan malam triliunan dollar,12,0,train
KMP-07916,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,lari pakai strava saja ternyata belum cukup ini alasannya,9,0,train
KMP-05518,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,smartwatch oppo watch s resmi di indonesia harga rp 2 jutaan,11,0,train
KMP-03423,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,inikah tampilan depan belakang samsung galaxy s26 ultra,8,0,train
KMP-03532,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,5 besar vendor smartphone teratas global tahun 2025,8,0,train
KMP-06477,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,ini isi epstein file yang catut nama bill gates dan elon musk,12,0,test
KMP-05958,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,registrasi sim biometrik mulai jalan telkomsel jamin keamanan data wajah pelanggan,11,0,train
KMP-06945,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,iphone laris manis penjualannya pecahkan rekor sepanjang masa,8,0,train
KMP-06328,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,awan gelap menanti penjualan smartphone 2026,6,0,train
KMP-07586,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,oppo a6t pro rilis di indonesia ini harga dan spesifikasi hp baterai 7 000 mah,15,0,validation
KMP-06834,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,openai luncurkan codex di macos programmer dibantu banyak agen ai,10,0,train
KMP-04429,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,epson lifestudio resmi di indonesia proyektor rumahan portable harga mulai rp 11 5 juta,14,0,train
